,bpm,C1,C2,C3,Genre
0,70,0,30,2.47008738,rock
1,62,2,30,4.59854176,rock
2,74,3,30,4.46969924,rock
3,71,1,30,4.55443474,rock
4,80,2,30,4.37834627,rock
5,81,3,35,2.59099806,rock
6,75,1,35,1.58216069,rock
7,73,2,35,1.55164167,rock
8,75,3,35,4.58735029,rock
9,69,5,35,2.31075712,rock
10,78,3,20,1.15407817,jazz
11,80,5,20,1.34304038,jazz
12,83,6,20,-0.70346104,jazz
13,84,4,20,-1.34635636,jazz
14,84,5,20,0.14253892,jazz
15,85,6,25,-0.18954782,jazz
16,86,4,25,1.56210775,jazz
17,89,5,25,-1.28828746,jazz
18,91,6,25,-0.63157998,jazz
19,94,8,25,-0.04253255,jazz
20,86,1,30,2.34691473,hip hop
21,90,3,30,3.79982374,hip hop
22,95,4,30,3.52181316,hip hop
23,95,2,30,3.53502033,hip hop
24,96,3,30,4.59528951,hip hop
25,93,4,25,4.29902421,hip hop
26,99,2,25,2.45607639,hip hop
27,100,3,25,4.95537841,hip hop
28,102,4,25,3.61845773,hip hop
29,98,6,25,4.16755383,hip hop
30,96,4,10,-2.99084071,folk
31,98,6,10,-4.70375354,folk
32,101,7,10,-4.0135194,folk
33,104,5,10,-4.54907058,folk
34,105,6,10,-4.80404186,folk
35,106,7,15,-3.08905401,folk
36,107,5,15,-4.25475952,folk
37,109,6,15,-3.85146167,folk
38,109,7,15,-4.591542,folk
39,114,9,15,-2.34577315,folk
40,107,2,20,-1.05981472,blues
41,108,4,20,-0.06586128,blues
42,114,5,20,1.24703015,blues
43,115,3,20,-0.18722638,blues
44,116,4,20,-1.25772191,blues
45,116,5,15,1.30141283,blues
46,117,3,15,0.55042138,blues
47,118,4,15,-0.46080749,blues
48,120,5,15,0.691071,blues
49,123,7,15,-0.75850358,blues
